"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"FV4VMDYQ","journalArticle","2018","Desavale, R. G.","Dynamics Characteristics and Diagnosis of a Rotor-Bearing's System Through a Dimensional Analysis Approach: An Experimental Study","Journal of Computational and Nonlinear Dynamics","","1555-1415","10.1115/1.4041828","https://doi.org/10.1115/1.4041828","In this work, vibration characteristic diagnosis of misalignment rotor in loosely fitted bearing is investigated using dimensional analysis (DA) approach. A comprehensive empirical model (EM) using nondimensional parameters is developed to diagnose the rotor-bearing system, and EM model has been validated through an experimental setup developed in-house. Experiments are performed for various defects such as misalignment and bearing looseness. The EM results can be used to monitor the real-time conditions of the rotor-bearing system. This work also presents the effect of misalignment and bearing looseness under various load and speed conditions. Further, work has been extended to predict the combined effect of bearing looseness and misalignment. It has been found that EM model predictions of the vibration amplitude are better when compared to experimental results.","2018-11-20","2024-07-16 03:28:38","2025-07-09 04:34:45","2024-07-16 03:28:06","","","014501","14","","Journal of Computational and Nonlinear Dynamics","Dynamics Characteristics and Diagnosis of a Rotor-Bearing's System Through a Dimensional Analysis Approach","","","","","","","","","","","","Silverchair","","","","; ; C:\Users\Felipe\Zotero\storage\2DXPR4T2\Desavale - 2018 - Dynamics Characteristics and Diagnosis of a Rotor-.pdf; C:\Users\Felipe\Zotero\storage\AMGPYCUA\Desavale - 2018 - Dynamics Characteristics and Diagnosis of a Rotor-.pdf; C:\Users\Felipe\Zotero\storage\GTGNEI8F\Desavale - 2018 - Dynamics Characteristics and Diagnosis of a Rotor-.pdf; C:\Users\Felipe\Zotero\storage\ZRH9FJJP\Desavale - 2018 - Dynamics Characteristics and Diagnosis of a Rotor-Bearing's System Through a Dimensional Analysis Ap.pdf; C:\Users\Felipe\Zotero\storage\RTURB2IU\Dynamics-Characteristics-and-Diagnosis-of-a-Rotor.html; C:\Users\Felipe\Zotero\storage\BQXX4WIQ\Dynamics-Characteristics-and-Diagnosis-of-a-Rotor.html","https://asmedigitalcollection.asme.org/computationalnonlinear/article-pdf/14/1/014501/6112582/cnd_014_01_014501.pdf; https://asmedigitalcollection.asme.org/computationalnonlinear/article/14/1/014501/400684/Dynamics-Characteristics-and-Diagnosis-of-a-Rotor?searchresult=1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9ARJVFL4","journalArticle","2019","Zhou, Dengji; Wei, Tingting; Ma, Shixi; Zhang, Huisheng; Huang, Di; Jiang, Ping; Lu, Zhenhua","Study on Meta-Modeling Method for Performance Analysis of Digital Power Plant","Journal of Energy Resources Technology","","0195-0738","10.1115/1.4044765","https://doi.org/10.1115/1.4044765","Digital power plant is the theory and method to improve the operating quality of power plant by quantifying, analyzing, controlling, and deciding the physical and working objects of power plants in the whole life cycle. And the foundation of digital power plant is system modeling and performance analysis. However, there are some problems in the process of modeling establishment and performance analysis. For instance, each component has different dimensions and different types of mathematical description, and the data or information used for modeling are defined differently and belong to different enterprises, who do not want to share their information. Meta-modeling is a potential method to solve these problems. It defines the specification to describe different kinds of elements and the relationship between different elements. In this paper, the collaborative modeling and simulation platform for digital power plant has been established based on the meta-modeling method and the performance of the target power plant has been analyzed from different aspects via field data. The meta-modeling method consists of three parts: syntax definition, model development, and algorithm definition. In the comparative study between the meta-model and the traditional model, maximum average errors of the two methods are 8.72% and 4.74%, which reveals the high accuracy of the meta-modeling-based model. The result shows that the modeling and simulation platform for power plants can be used to reduce costs, decrease equipment failure rate, and improve plant output, so as to guarantee the safety and increase economics.","2019-09-25","2024-07-16 03:28:38","2025-07-09 04:34:40","2024-07-16 03:28:08","","","042005","142","","Journal of Energy Resources Technology","","","","","","","","","","","","","Silverchair","","","","; C:\Users\Felipe\Zotero\storage\I8XEBG4K\Zhou et al. - 2019 - Study on Meta-Modeling Method for Performance Anal.pdf; C:\Users\Felipe\Zotero\storage\MPIBWZJR\Zhou et al. - 2019 - Study on Meta-Modeling Method for Performance Analysis of Digital Power Plant.pdf; ; C:\Users\Felipe\Zotero\storage\H9ZK2B6H\Study-on-Meta-Modeling-Method-for-Performance.html; C:\Users\Felipe\Zotero\storage\X86RL7A7\Study-on-Meta-Modeling-Method-for-Performance.html","https://asmedigitalcollection.asme.org/energyresources/article/142/4/042005/960609/Study-on-Meta-Modeling-Method-for-Performance?searchresult=1; https://asmedigitalcollection.asme.org/energyresources/article-pdf/142/4/042005/6524073/jert_142_4_042005.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7YYTUUG8","journalArticle","2020","Xie, Hong; Yang, Bo; Zhang, Shuyi; Song, Moru","Performance Analysis and Improvement of a Centrifugal Compressor Based on Partial Similarity Principle","Journal of Engineering for Gas Turbines and Power","","0742-4795","10.1115/1.4046925","https://doi.org/10.1115/1.4046925","In this paper, with the help of partial similarity principle, aerodynamic performance of a centrifugal compressor in a turbocharger unit is analyzed and improved based on a low-speed large-scaled model. In order to achieve flow similarity between the scaled compressor and the prototype, tip clearance and diffuser outlet diameter have been modified further. It is observed from the numerical results that the relative error between the scaled compressor and the prototype is less than 0.8%. It means that the flow field of the scaled compressor is similar to the prototype though the Reynolds number is neglected during the scaling process. Furthermore, the large-scaled impeller has been improved by analyzing the numerical results, and then, the improved impeller is scaled down back to the smaller one by using the partial similarity principle, which geometric dimensions have the same level as those of the prototype but performance is improved obviously. Meanwhile, the experiment results are used to validate the method.","2020-04-29","2024-07-16 03:28:38","2025-07-09 04:34:37","2024-07-16 03:28:10","","","051012","142","","Journal of Engineering for Gas Turbines and Power","","","","","","","","","","","","","Silverchair","","","","; C:\Users\Felipe\Zotero\storage\38D8LY84\Xie et al. - 2020 - Performance Analysis and Improvement of a Centrifu.pdf; C:\Users\Felipe\Zotero\storage\77V8J6EM\Xie et al. - 2020 - Performance Analysis and Improvement of a Centrifugal Compressor Based on Partial Similarity Princip.pdf; ; C:\Users\Felipe\Zotero\storage\PDYTVGN8\Performance-Analysis-and-Improvement-of-a.html; C:\Users\Felipe\Zotero\storage\3RP4WTKB\Performance-Analysis-and-Improvement-of-a.html","https://asmedigitalcollection.asme.org/gasturbinespower/article/142/5/051012/1082628/Performance-Analysis-and-Improvement-of-a?searchresult=1; https://asmedigitalcollection.asme.org/gasturbinespower/article-pdf/142/5/051012/6530079/gtp_142_05_051012.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"H3IXB3LI","journalArticle","2020","Ighodaro, Osarobo; Akhihiero, David","Modeling and Performance Analysis of a Small Horizontal Axis Wind Turbine","Journal of Energy Resources Technology","","0195-0738","10.1115/1.4047972","https://doi.org/10.1115/1.4047972","Wind energy is increasingly becoming a major discussion amongst renewable energy sources due to its sustainability, reduced impact on the environment, and being significantly cheaper than conventional fossil fuels. Researchers have been particularly concerned with studying improved design and optimization using computational technique and experimentation. This research aims at designing blades for a small horizontal axis wind turbine for low Reynolds number using blade element momentum theory and using computational fluid dynamics (cfd) and experiment to analyze its performance. Two airfoils (SG6050 and SG6043) were selected for different regions of the blade span. Four turbulent models were used in predicting its performance. The performance was analyzed for wind speeds between 2 m/s and 7 m/s. Studies showed that the blade is capable of generating power up to 241 W with a power coefficient of 34.3% at a speed of 6 m/s. The computed power coefficient is in good agreement with experimental results of 33.7%.","2020-08-27","2024-07-16 03:28:38","2025-07-09 04:34:35","2024-07-16 03:28:11","","","031301","143","","Journal of Energy Resources Technology","","","","","","","","","","","","","Silverchair","","","","; C:\Users\Felipe\Zotero\storage\FYUP3G9H\Ighodaro and Akhihiero - 2020 - Modeling and Performance Analysis of a Small Horiz.pdf; C:\Users\Felipe\Zotero\storage\87QG66DP\Ighodaro and Akhihiero - 2020 - Modeling and Performance Analysis of a Small Horizontal Axis Wind Turbine.pdf; ; C:\Users\Felipe\Zotero\storage\SXBSUE8L\Modeling-and-Performance-Analysis-of-a-Small.html; C:\Users\Felipe\Zotero\storage\W2QXUC4N\Modeling-and-Performance-Analysis-of-a-Small.html","https://asmedigitalcollection.asme.org/energyresources/article/143/3/031301/1085948/Modeling-and-Performance-Analysis-of-a-Small?searchresult=1; https://asmedigitalcollection.asme.org/energyresources/article-pdf/143/3/031301/6560528/jert_143_3_031301.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"635QWPGY","journalArticle","2013","Micheli, D.; Pinamonti, P.; Reini, M.; Taccani, R.","Performance Analysis and Working Fluid Optimization of a Cogenerative Organic Rankine Cycle Plant","Journal of Energy Resources Technology","","0195-0738","10.1115/1.4023098","https://doi.org/10.1115/1.4023098","","2013-01-10","2024-07-16 03:28:38","2025-07-09 04:35:09","2024-07-16 03:28:12","","","021601","135","","Journal of Energy Resources Technology","","","","","","","","","","","","","Silverchair","","","","; C:\Users\Felipe\Zotero\storage\AR4Q94HF\Micheli et al. - 2013 - Performance Analysis and Working Fluid Optimizatio.pdf; C:\Users\Felipe\Zotero\storage\LE9PN4SN\Micheli et al. - 2013 - Performance Analysis and Working Fluid Optimizatio.pdf; C:\Users\Felipe\Zotero\storage\FHFK5TNN\Micheli et al. - 2013 - Performance Analysis and Working Fluid Optimizatio.pdf; C:\Users\Felipe\Zotero\storage\JYUBBUY6\Micheli et al. - 2013 - Performance Analysis and Working Fluid Optimization of a Cogenerative Organic Rankine Cycle Plant.pdf; ; C:\Users\Felipe\Zotero\storage\K3WUD3S5\Performance-Analysis-and-Working-Fluid.html; C:\Users\Felipe\Zotero\storage\L7GWMVFQ\Performance-Analysis-and-Working-Fluid.html","https://asmedigitalcollection.asme.org/energyresources/article/135/2/021601/365899/Performance-Analysis-and-Working-Fluid?searchresult=1; https://asmedigitalcollection.asme.org/energyresources/article-pdf/135/2/021601/6144342/jert_135_2_021601.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"C8GG768V","journalArticle","2018","Challa, Ravi; Yim, Solomon C.","Finite Element and Smoothed Particle Hydrodynamics Modeling of Fluid–Structure Interaction Using a Unified Computational Methodology","Journal of Offshore Mechanics and Arctic Engineering","","0892-7219","10.1115/1.4038939","https://doi.org/10.1115/1.4038939","This study illustrates a comparison of two numerical methods under a unified computational platform for solving fluid–structure interaction (FSI) problems. The first is an arbitrary Lagrangian–Eulerian (ALE)-based fluid model coupled to a structural finite element (FE) method (ALE-FE/FE), and the second is a smoothed particle hydrodynamics (SPH) method coupled to the same structural FE code (SPH/FE). The predictive capabilities and computational efficiency of both the numerical methods are evaluated and validated against a canonical problem of a rapidly varying flow past an elastic gate for which experimental data are available. In both numerical solutions, the fluid flow is governed by the Navier–Stokes equation, and the elastic gate is modeled as a flexible structure. Numerical simulation results show that the ALE-FE/FE continuum approach not only captures the dynamic behavior properly but also predicts the water-free surface profiles and the elastic gate deformations accurately. On the other hand, the coupled purely Lagrangian approach of the SPH/FE under an identical computational platform is found to be less accurate and efficient in predicting the dynamics of the elastic gate motion and the water-free surface profiles.","2018-06-13","2024-07-16 03:28:38","2025-07-09 04:35:22","2024-07-16 03:28:28","","","061801","140","","Journal of Offshore Mechanics and Arctic Engineering","","","","","","","","","","","","","Silverchair","","","","; C:\Users\Felipe\Zotero\storage\3S7C55TM\Challa and Yim - 2018 - Finite Element and Smoothed Particle Hydrodynamics.pdf; C:\Users\Felipe\Zotero\storage\ASYHGRPD\Challa and Yim - 2018 - Finite Element and Smoothed Particle Hydrodynamics Modeling of Fluid–Structure Interaction Using a U.pdf; ; C:\Users\Felipe\Zotero\storage\5VUGZJSC\Finite-Element-and-Smoothed-Particle-Hydrodynamics.html; C:\Users\Felipe\Zotero\storage\FBU42N2L\Finite-Element-and-Smoothed-Particle-Hydrodynamics.html","https://asmedigitalcollection.asme.org/offshoremechanics/article/140/6/061801/472644/Finite-Element-and-Smoothed-Particle-Hydrodynamics?searchresult=1; https://asmedigitalcollection.asme.org/offshoremechanics/article-pdf/140/6/061801/6248856/omae_140_06_061801.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MPM3GXX7","journalArticle","2018","Cobb, Mitchell; Deodhar, Nihar; Vermillion, Christopher","Lab-Scale Experimental Characterization and Dynamic Scaling Assessment for Closed-Loop Crosswind Flight of Airborne Wind Energy Systems","Journal of Dynamic Systems, Measurement, and Control","","0022-0434","10.1115/1.4038650","https://doi.org/10.1115/1.4038650","This paper presents the experimental validation and dynamic similarity analysis for a lab-scale version of an airborne wind energy (AWE) system executing closed-loop motion control. Execution of crosswind flight patterns, achieved in this work through the asymmetric motion of three tethers, enables dramatic increases in energy generation compared with stationary operation. Achievement of crosswind flight in the lab-scale experimental framework described herein allows for rapid, inexpensive, and dynamically scalable characterization of new control algorithms without recourse to expensive full-scale prototyping. We first present the experimental setup, then derive dynamic scaling relationships necessary for the lab-scale behavior to match the full-scale behavior. We then validate dynamic equivalence of crosswind flight over a range of different scale models of the Altaeros Buoyant airborne turbine (BAT). This work is the first example of successful lab-scale control and measurement of crosswind motion for an AWE system across a range of flow speeds and system scales. The results demonstrate that crosswind flight can achieve significantly more power production than stationary operation, while also validating dynamic scaling laws under closed-loop control.","2018-01-16","2024-07-16 03:28:38","2025-07-09 04:34:52","2024-07-16 03:28:36","","","071005","140","","Journal of Dynamic Systems, Measurement, and Control","","","","","","","","","","","","","Silverchair","","","","; ; C:\Users\Felipe\Zotero\storage\23SQLGSF\Cobb et al. - 2018 - Lab-Scale Experimental Characterization and Dynami.pdf; C:\Users\Felipe\Zotero\storage\P3MEFWZN\Cobb et al. - 2018 - Lab-Scale Experimental Characterization and Dynami.pdf; C:\Users\Felipe\Zotero\storage\Y9B3EUDJ\Cobb et al. - 2018 - Lab-Scale Experimental Characterization and Dynami.pdf; C:\Users\Felipe\Zotero\storage\S32NU7PT\Cobb et al. - 2018 - Lab-Scale Experimental Characterization and Dynamic Scaling Assessment for Closed-Loop Crosswind Fli.pdf; C:\Users\Felipe\Zotero\storage\UULAFJ24\Lab-Scale-Experimental-Characterization-and.html; C:\Users\Felipe\Zotero\storage\DG97YIK2\Lab-Scale-Experimental-Characterization-and.html","https://asmedigitalcollection.asme.org/dynamicsystems/article-pdf/140/7/071005/6025712/ds_140_07_071005.pdf; https://asmedigitalcollection.asme.org/dynamicsystems/article/140/7/071005/384762/Lab-Scale-Experimental-Characterization-and?searchresult=1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PFMS5TKR","journalArticle","2012","Valmiki, M. M.; Karaki, Wafaa; Li, Peiwen; Lew, Jon Van; Chan, Cholik; Stephens, Jake","Experimental Investigation of Thermal Storage Processes in a Thermocline Tank","Journal of Solar Energy Engineering","","0199-6231","10.1115/1.4006962","https://doi.org/10.1115/1.4006962","","2012-07-05","2024-07-16 03:38:13","2025-07-09 04:35:11","2024-07-16 03:37:40","","","041003","134","","Journal of Solar Energy Engineering","","","","","","","","","","","","","Silverchair","","","","; ; C:\Users\Felipe\Zotero\storage\W6LRWMQN\Valmiki et al. - 2012 - Experimental Investigation of Thermal Storage Proc.pdf; C:\Users\Felipe\Zotero\storage\KWTV3DF9\Valmiki et al. - 2012 - Experimental Investigation of Thermal Storage Processes in a Thermocline Tank.pdf; C:\Users\Felipe\Zotero\storage\8V4W7DEY\Experimental-Investigation-of-Thermal-Storage.html; C:\Users\Felipe\Zotero\storage\2ERRCMIH\Experimental-Investigation-of-Thermal-Storage.html","https://asmedigitalcollection.asme.org/solarenergyengineering/article-pdf/134/4/041003/6322893/041003_1.pdf; https://asmedigitalcollection.asme.org/solarenergyengineering/article/134/4/041003/444617/Experimental-Investigation-of-Thermal-Storage?searchresult=1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ARAIVPLV","journalArticle","2013","Karimi Sadaghiyani, Omid; pourmahmoud, Nader; Mirzaee, Iraj","Numerical Simulation Coupled With MCRT Method to Study the Effect of Plug Diameter and Its Position on Outlet Temperature and the Efficiency of LS-2 Parabolic Trough Collector","Journal of Solar Energy Engineering","","0199-6231","10.1115/1.4024475","https://doi.org/10.1115/1.4024475","","2013-06-25","2024-07-16 03:38:13","2025-07-09 04:35:05","2024-07-16 03:37:45","","","041001","135","","Journal of Solar Energy Engineering","","","","","","","","","","","","","Silverchair","","","","; C:\Users\Felipe\Zotero\storage\YIPII29N\Karimi Sadaghiyani et al. - 2013 - Numerical Simulation Coupled With MCRT Method to S.pdf; C:\Users\Felipe\Zotero\storage\VGSHZDY7\Karimi Sadaghiyani et al. - 2013 - Numerical Simulation Coupled With MCRT Method to S.pdf; C:\Users\Felipe\Zotero\storage\3VH35K32\Karimi Sadaghiyani et al. - 2013 - Numerical Simulation Coupled With MCRT Method to S.pdf; C:\Users\Felipe\Zotero\storage\23NEAG9B\Karimi Sadaghiyani et al. - 2013 - Numerical Simulation Coupled With MCRT Method to Study the Effect of Plug Diameter and Its Position.pdf; C:\Users\Felipe\Zotero\storage\UT8R7SCD\Numerical-Simulation-Coupled-With-MCRT-Method-to.html; C:\Users\Felipe\Zotero\storage\IQVH8764\Numerical-Simulation-Coupled-With-MCRT-Method-to.html; ","https://asmedigitalcollection.asme.org/solarenergyengineering/article/135/4/041001/368504/Numerical-Simulation-Coupled-With-MCRT-Method-to?searchresult=1; https://asmedigitalcollection.asme.org/solarenergyengineering/article-pdf/135/4/041001/6324139/sol_135_04_041001.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ZB9XNB7Q","journalArticle","2018","Tamura, Akinori; Takahashi, Shiro; Nakata, Hiroyuki; Takota, Akio","A Numerical Analysis Method of Impurity Precipitation on Mesh Wire of Cold Trap in Fast Breeder Reactor","Journal of Nuclear Engineering and Radiation Science","","2332-8983","10.1115/1.4039037","https://doi.org/10.1115/1.4039037","A fast breeder reactor (FBR) is considered as the promising technology in terms of load reduction on the environment, because the FBR has capability to improve usage efficiency of uranium resources and can reduce high-level radioactive waste which needs to be managed for millions of years. A cold trap is one of the important components in the FBR to control the impurity concentration of the liquid sodium. For accurate evaluation of the cold trap performance, we have been proposing the three-dimensional (3D) numerical analysis method of the cold trap. In this method, the evaluation of the impurity precipitation phenomena on the surface of the mesh wire of the cold trap is the key. For this, the numerical analysis method which is based on the lattice kinetic scheme (LKS) has been proposed. In order to apply the LKS to the impurity precipitation simulation of the cold trap, two models (the low Reynolds number model and the impurity precipitation model) have been developed. In this paper, we focused on the validation of these models. To confirm the validity of the low Reynolds number model, the Chapman–Enskog analysis was applied to the low Reynolds number model. As a result, it has been theoretically confirmed that the low Reynolds number model can recover the correct macroscopic equations (incompressible Navier–Stokes equations) with small error. The low Reynolds number model was also validated by the numerical simulation of two-dimensional (2D) channel flow problem with the low Reynolds number conditions which correspond to the actual cold trap conditions. These results have confirmed that the error of the low Reynolds number model is ten times smaller than that of the original LKS. The validity of the impurity precipitation model was investigated by the comparison to the precipitation experiments. In this comparison, the mesh convergence study was also conducted. These results have confirmed that the proposed impurity precipitation model can simulate the impurity precipitation phenomena on the surface of the mesh wire. It has been also confirmed that the proposed impurity precipitation model can simulate the impurity precipitation phenomenon regardless of the cell size which were tested in this investigation.","2018-05-16","2024-07-16 03:38:13","2025-07-09 04:34:50","2024-07-16 03:37:53","","","031015","4","","Journal of Nuclear Engineering and Radiation Science","","","","","","","","","","","","","Silverchair","","","","; C:\Users\Felipe\Zotero\storage\7W7SFHDD\Tamura et al. - 2018 - A Numerical Analysis Method of Impurity Precipitat.pdf; C:\Users\Felipe\Zotero\storage\82UHNQ3R\Tamura et al. - 2018 - A Numerical Analysis Method of Impurity Precipitat.pdf; C:\Users\Felipe\Zotero\storage\ZHY25A2V\Tamura et al. - 2018 - A Numerical Analysis Method of Impurity Precipitat.pdf; C:\Users\Felipe\Zotero\storage\EYJ3R6TF\Tamura et al. - 2018 - A Numerical Analysis Method of Impurity Precipitation on Mesh Wire of Cold Trap in Fast Breeder Reac.pdf; ; C:\Users\Felipe\Zotero\storage\G48RLNLY\A-Numerical-Analysis-Method-of-Impurity.html; C:\Users\Felipe\Zotero\storage\GLXIDNZK\A-Numerical-Analysis-Method-of-Impurity.html","https://asmedigitalcollection.asme.org/nuclearengineering/article/4/3/031015/368930/A-Numerical-Analysis-Method-of-Impurity?searchresult=1; https://asmedigitalcollection.asme.org/nuclearengineering/article-pdf/4/3/031015/6518709/ners_004_03_031015.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
