"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"RWPTX93X","journalArticle","2020","R. Etengu; S. C. Tan; L. C. Kwang; F. M. Abbou; T. C. Chuah","AI-Assisted Framework for Green-Routing and Load Balancing in Hybrid Software-Defined Networking: Proposal, Challenges and Future Perspective","IEEE Access","","2169-3536","10.1109/ACCESS.2020.3022291","","The explosive growth of IP networks, the advent of cloud computing, and the rapid progress in wireless communications witnessed today reflect significant progress towards meeting the explosive data traffic demands. Consequently, communications service providers should deploy efficient and intelligent network solutions to accommodate the huge traffic demands and to ease the capacity pressure on their network infrastructure. Besides, vendors should develop novel energy-efficient networks to reduce network utility costs and carbon footprint. Software-defined networking (SDN) provides a suitable solution, however, complete SDN deployment is currently unachievable in the short-term. An alternative is the hybrid SDN/open shortest path forwarding (OSPF) network, which allows the deployment of SDN in legacy networks. Nevertheless, hybrid SDN/OSPF also faces several technical, economic and organizational challenges. Although many energy-efficiency routing solutions exist in hybrid SDN/OSPF networks, they are generic and reactive by design. Moreover, these solutions are characterized by manual control plane forwarding configurations, leading to sub-optimal performance. The recent promising combination of SDN and artificial intelligence (AI) techniques such as machine learning (ML) and deep learning (DL) in traffic management and control provides tremendous opportunities. In this paper, we first provide a review of the most recent optimization approaches for global energy-efficient routing and load balancing. Next, we investigate a scalable and intelligent integrated architectural framework that leverages deep reinforcement learning (DRL) techniques to realize predictive and rate adaptive energy-efficient routing with guaranteed quality of service (QoS), in transitional hybrid SDN/OSPF networks. Based on the need to minimize global network energy consumption and improve link performance, this paper provides key research insights into the current progress in hybrid SDN/OSPF, ML and AI in the hope of stimulating more research.","2020","2025-07-09 04:16:11","2025-07-11 08:11:15","","166384-166441","","","8","","IEEE Access","","","","","","","","","","","","","","","","","","","artificial intelligence; Communication networks; deep reinforcement learning; energy-aware routing; Heuristic algorithms; Hybrid SDN/OSPF; Load management; machine learning; Machine learning; Optimization; quality of service; Quality of service; Routing; scalable; traffic engineering","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ICEHICCJ","journalArticle","2018","M. V. O. De Assis; M. P. Novaes; C. B. Zerbini; L. F. Carvalho; T. Abrãao; M. L. Proença","Fast Defense System Against Attacks in Software Defined Networks","IEEE Access","","2169-3536","10.1109/ACCESS.2018.2878576","","With the ever-growing data traffic in computer networks nowadays, the management of large-scale networks is a challenge for guaranteeing the quality of the provided services. This is due to the increasingly usage of connected applications, such as Internet of Things and cloud computing environments. Software-defined networking (SDN) is a new paradigm that aims to make this management process easier by centralizing the configuration of all network devices into a single programmable central controller. However, as any centralized service, this architecture is susceptible to security vulnerabilities, such as distributed denial of service (DDoS) and port scan attacks. Thus, security methods are necessary to guarantee the normal operation of SDN's central controller. Furthermore, networks are transporting an increasingly amount of information day by day, which could mean data loss in case of long network unavailability. For this reason, security mechanisms must operate online, with fast-responding countermeasures to mitigate the impact of the detected attacks over the SDN. In this paper, we present a fast SDN defense system against DDoS and port scan attacks, which runs directly into the central controller and uses a game theoretical approach for attack mitigation. For the detection, we compare three different approaches, particle swarm optimization, multi-layer perceptron neural network, and discrete wavelet transform. We test our approach over IP flow data generated over Mininet network emulator, along with floodlight controller, and the presented defense system achieved good outcomes for both detection and mitigation processes.","2018","2025-07-09 04:16:11","2025-07-11 08:11:14","","69620-69639","","","6","","IEEE Access","","","","","","","","","","","","","","","","","","","Anomaly detection; Computer crime; DDoS; Discrete wavelet transforms; DWT; Internet of Things; IP networks; MLP; port scan; PSO; SDN; Software","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VQR692ZR","journalArticle","2017","M. V. O. De Assis; A. H. Hamamoto; T. Abrão; M. L. Proença","A Game Theoretical Based System Using Holt-Winters and Genetic Algorithm With Fuzzy Logic for DoS/DDoS Mitigation on SDN Networks","IEEE Access","","2169-3536","10.1109/ACCESS.2017.2702341","","The ever expanding the usage of cloud computing environments, connected applications and Internet of Things-based devices have progressively increased the amount of data that travels through our networks. Software-defined network (SDN) is an emergent paradigm that aims to support next-generation networks through its flexible and powerful management mechanisms. One of the biggest threats faced by these services nowadays is security management. Attacks based on the denial of service (DoS) are particularly efficient against this paradigm due to its centralized control characteristic. Once this controlling system receives a massive amount of malicious requests, the overall performance of the network operation is impaired. Although several researches propose to address this problem, most of them are reactive approaches, detecting the attacks and warning the network administrators, i.e., after the network is already compromised. This paper presents an autonomic DoS/DDoS defensive approach for SDNs called Game Theory (GT)-Holt-Winters for Digital Signature (HWDS), which unites the anomaly detection and identification provided by an HWDS system with an autonomous decision-making model based on GT. Real collected data and simulated attacks are used by the system to measure its effectiveness and efficiency. Furthermore, we also use a heuristic Fuzzy-GADS method for anomaly detection instead of HWDS, aiming to compare the achieved performance and evaluate the behavior of the presented game theoretical approaches a standalone mitigation module.","2017","2025-07-09 04:16:11","2025-07-11 08:11:13","","9485-9496","","","5","","IEEE Access","","","","","","","","","","","","","","","","","","","Computer crime; denial of service; fuzzy logic; Fuzzy logic; GADS; Game theory; Games; Genetic algorithms; HWDS; IP networks","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IVXSZASC","journalArticle","2018","","2018 Index IEEE Journal of Selected Topics in Signal Processing Vol. 12","IEEE Journal of Selected Topics in Signal Processing","","1941-0484","10.1109/JSTSP.2018.2886649","","This index covers all technical items - papers, correspondence, reviews, etc. - that appeared in this periodical during the year, and items from previous years that were commented upon or corrected in this year. Departments and other items may also be covered if they have been judged to have archival value. The Author Index contains the primary entry for each item, listed under the first author's name. The primary entry includes the co-authors' names, the title of the paper or other item, and its location, specified by the publication abbreviation, year, month, and inclusive pagination. The Subject Index contains entries describing the item under all appropriate subject headings, plus the first author's name, the publication abbreviation, month, and year, and inclusive pages. Note that the item title is found only under the primary entry in the Author Index.","2018-12","2025-07-09 04:16:12","2025-07-11 08:11:21","","1638-1656","","6","12","","IEEE Journal of Selected Topics in Signal Processing","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GPJ37T9X","conferencePaper","2020","","Table of Contents","2020 IEEE Intl Conf on Parallel & Distributed Processing with Applications, Big Data & Cloud Computing, Sustainable Computing & Communications, Social Computing & Networking (ISPA/BDCloud/SocialCom/SustainCom)","","","10.1109/ISPA-BDCloud-SocialCom-SustainCom51426.2020.00004","","Presents the table of contents/splash page of the proceedings record.","2020-12-17","2025-07-09 04:16:12","2025-07-11 08:11:25","","v-xxxiv","","","","","","","","","","","","","","","","","","","","Journal Abbreviation: 2020 IEEE Intl Conf on Parallel & Distributed Processing with Applications, Big Data & Cloud Computing, Sustainable Computing & Communications, Social Computing & Networking (ISPA/BDCloud/SocialCom/SustainCom)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2020 IEEE Intl Conf on Parallel & Distributed Processing with Applications, Big Data & Cloud Computing, Sustainable Computing & Communications, Social Computing & Networking (ISPA/BDCloud/SocialCom/SustainCom)","","","","","","","","","","","","","","",""
"LV47RP6Y","conferencePaper","2018","","ICCCA 2018 Paper Presentation","2018 4th International Conference on Computing Communication and Automation (ICCCA)","2642-7354","","10.1109/CCAA.2018.8777625","","Conference proceedings front matter may contain various advertisements, welcome messages, committee or program information, and other miscellaneous conference information. This may in some cases also include the cover art, table of contents, copyright sta","2018-12-14","2025-07-09 04:16:12","2025-07-11 08:11:23","","i-xv","","","","","","","","","","","","","","","","","","","","Journal Abbreviation: 2018 4th International Conference on Computing Communication and Automation (ICCCA)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2018 4th International Conference on Computing Communication and Automation (ICCCA)","","","","","","","","","","","","","","",""
"4EMRL6KA","conferencePaper","2018","","Table of contents","2018 IEEE International Conference on Mechatronics and Automation (ICMA)","2152-744X","","10.1109/ICMA.2018.8484738","","Presents the table of contents/splash page of the proceedings record.","2018-08-05","2025-07-09 04:16:12","2025-07-11 08:11:20","","1-35","","","","","","","","","","","","","","","","","","","","Journal Abbreviation: 2018 IEEE International Conference on Mechatronics and Automation (ICMA)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2018 IEEE International Conference on Mechatronics and Automation (ICMA)","","","","","","","","","","","","","","",""
"Y2BTI9JS","journalArticle","2018","","2018 Index IEEE Transactions on Power Delivery Vol. 33","IEEE Transactions on Power Delivery","","1937-4208","10.1109/TPWRD.2018.2890521","","Presents the 2018 subject/author index for this publication.","2018-12","2025-07-09 04:16:12","2025-07-11 08:11:22","","3271-3325","","6","33","","IEEE Transactions on Power Delivery","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SSEEHARH","conferencePaper","2020","","Final Program","2020 International Conference on Unmanned Aircraft Systems (ICUAS)","2575-7296","","10.1109/ICUAS48674.2020.9214039","","Provides a schedule of conference events and a listing of which papers were presented in each session.","2020-09-01","2025-07-09 04:16:12","2025-07-11 08:11:24","","i-cxxvi","","","","","","","","","","","","","","","","","","","","Journal Abbreviation: 2020 International Conference on Unmanned Aircraft Systems (ICUAS)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2020 International Conference on Unmanned Aircraft Systems (ICUAS)","","","","","","","","","","","","","","",""
"EPLXDGXW","journalArticle","2024","B. Van Herbruggen; J. V. -V. Gerwen; S. Luchie; Y. Durodié; B. Vanderborght; M. Aernouts; A. Munteanu; J. Fontaine; E. D. Poorter","Selecting and Combining UWB Localization Algorithms: Insights and Recommendations From a Multi-Metric Benchmark","IEEE Access","","2169-3536","10.1109/ACCESS.2024.3358274","","Ultra-wideband (UWB) localization has emerged in GPS-denied environments as a crucial facilitator for diverse industries, including logistics, healthcare applications, and societal domains. Despite notable progress, UWB algorithms from the scientific literature are often evaluated in isolation in very specific conditions and hence difficult to compare. This paper introduces a novel benchmark platform designed to assess the performance of 11 prominent UWB accuracy-enhancing algorithms, both independently and in combination. A key feature of the platform is its incorporation of multiple diverse evaluation metrics, including mean average error, latency, and spatial error. We showcase the significance of adopting alternative metrics such as spatial error, which often, depending on the use case, offers greater relevance than the prevalently used mean average error. Furthermore, we show that “more is better” does not hold true when combining multiple accuracy-improving algorithms for UWB systems: combining multiple accuracy-improving algorithms reveals instances of diminishing returns and can even result in overall performance decline. Additionally, we caution against blind reliance on accuracy outcomes reported in the scientific literature when designing UWB systems for use cases that are different in terms of requirements or environment. Finally, we also provide algorithmic recommendations for distinct surroundings, exemplary applications, and usage contexts, assisting in driving efficient design in future UWB research and adoption.","2024","2025-07-09 04:18:06","2025-07-11 08:11:11","","16881-16901","","","12","","IEEE Access","","","","","","","","","","","","","","","","","","","Benchmark; Benchmark testing; filters; Global Positioning System; guidelines; Guidelines; localization; Location awareness; LOS/NLOS; software; Ultra wideband technology; ultra-wideband; UWB","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
