"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"MYTEGS2T","journalArticle","2022","Dumka, Pankaj; Chauhan, Rishika; Singh, Ayush; Singh, Gaurav; Mishra, Dhananjay","Implementation of Buckingham's Pi theorem using Python","Advances in Engineering Software","","0965-9978","10.1016/j.advengsoft.2022.103232","https://www.sciencedirect.com/science/article/pii/S0965997822001363","Buckingham's Pi theorem plays an important role in engineering, applied mathematics, and physics for dimensional analysis. From the given variables, it will be utilised to evaluate the set of dimensionless parameters. It indicates that the validity of the physical law is independent of the specific unit system, and it can be expressed as an identity incorporating only dimensionless variables associated with the law. A python-based function has been developed and reported in this manuscript, which can be utilised to evaluate Pi terms (commonly called π terms) for any fluid flow problem. Smaller moderation in the written function can make it capable of solving any fundamental dimensions. Different fluid mechanics problems are utilised to test and validate the reported function, five of which are presented in this manuscript along with code. Obtained results are in good agreement with the theoretically obtained results.","2022-11-01","2023-07-18 01:32:59","2025-07-11 08:17:34","2023-07-18 01:32:59","103232","","","173","","Advances in Engineering Software","","","","","","","","en","","","","","ScienceDirect","","","","C:\Users\Felipe\Zotero\storage\9573QL57\Dumka et al. - 2022 - Implementation of Buckingham's Pi theorem using Py.pdf; C:\Users\Felipe\Zotero\storage\LS2RYYRJ\S0965997822001363.html","","Buckingham's Pi theorem; Dimensional analysis; Fluid mechanics; Physical similarity analysis; Python programming","BuPi; nrv; RV,rv; SI","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GP4N33BQ","journalArticle","2023","Beneddine, Samir; View Profile","Nonlinear input feature reduction for data-based physical modeling","Journal of Computational Physics","","","10.1016/j.jcp.2022.111832","https://dl.acm.org/doi/10.1016/j.jcp.2022.111832","","2023-02","2025-06-25 21:39:02","2025-07-11 08:15:00","2025-06-25 21:39:02","","","C","474","","","","","","","","","","","","","","","dl-acm-org.ezproxy.uniandes.edu.co (Atypon)","","Publisher: Academic Press Professional, Inc.","","C:\Users\Felipe\Zotero\storage\JQIFLQAB\Beneddine and View Profile - 2023 - Nonlinear input feature reduction for data-based physical modeling.pdf","","Deep learning; Dimensional analysis; Feature selection; Mutual information; Physical modeling","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8T3UMA2P","journalArticle","2023","Brence, Jure; View Profile; Džeroski, Sašo; View Profile; Todorovski, Ljupčo; View Profile","Dimensionally-consistent equation discovery through probabilistic attribute grammars","Information Sciences: an International Journal","","","10.1016/j.ins.2023.03.073","https://dl.acm.org/doi/10.1016/j.ins.2023.03.073","","2023-06","2025-06-25 21:40:51","2025-07-11 08:15:01","2025-06-25 21:40:51","742-756","","C","632","","","","","","","","","","","","","","","dl-acm-org.ezproxy.uniandes.edu.co (Atypon)","","Publisher: Elsevier Science Inc.","","C:\Users\Felipe\Zotero\storage\IB5T3FD5\Brence et al. - 2023 - Dimensionally-consistent equation discovery through probabilistic attribute grammars.pdf","","Background knowledge; Computational scientific discovery; Dimensional analysis; Equation discovery; Symbolic regression; Units of measurement","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LXR5P3QS","journalArticle","2016","Amanna, Behnam; Khorsand Movaghar, Mohammad Reza","Cuttings transport behavior in directional drilling using computational fluid dynamics (CFD)","Journal of Natural Gas Science and Engineering","","1875-5100","10.1016/j.jngse.2016.07.029","https://www.sciencedirect.com/science/article/pii/S1875510016304875","As one of the most crucial concerns in hole cleaning and especially in directional drilling, cutting transport optimization eventuates in the reduction of drilling costs and increase in oil recovery. Cutting removal is, however, affected by different parameters including fluid flow rate, drill pipe rotation, cutting size and inclination which have to be considered simultaneously. In the current report, Liquid-Solid model is implemented to solve the governing equations in the Eulerian CFD framework. Results are compared with experimental data and successful validation with experimental data is achieved. On the basis of design of experiment algorithm, further simulations have been carried out to investigate the effect of the as mentioned key parameters on cutting transport behavior. Results show that hole inclinations between 45 and 60° are the most difficult angles in hole cleaning process. Moreover, increase in values of flow rate and drill pipe rotation will effectively improve the drag effects leading to superior cutting removal. Besides, it has been proven that cutting size affects cutting transport less than the other parameters. For industrial applications, an empirical correlation is developed for estimating cutting concentration. Buckingham-π theorem along with multi-variable regression technique is applied to establish the correlation.","2016-08-01","2025-07-11 02:54:18","2025-07-11 08:15:27","","670-679","","","34","","Journal of Natural Gas Science and Engineering","","","","","","","","","","","","","","","","","","","Computational fluid dynamic; Cutting transport; Hole cleaning; Hole inclination; Pipe rotation","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EJDTG73Q","journalArticle","2020","Zhao, Nana; Zhao, Yurong; Li, Jie; Liu, Heguang; Shao, Tiantian; Xu, Yunhua; Wang, Xin; Lu, Zhengxin; Chen, Jing; Liu, Xuan; Niu, Siyu","Hardness and yield strength of micro-nano TaC-Fe composite layer characterized through nano-indentation, finite element simulation and dimensional analysis","Ceramics International","","0272-8842","10.1016/j.ceramint.2019.10.062","https://www.sciencedirect.com/science/article/pii/S0272884219329116","In this study, yield strength of TaC-Fe composite on steel-based surface micro-nanostructure was studied by nano-indentation, finite element simulation, and dimensional analysis. Finite element analysis was utilized to simulate nano-indentation of TaC-Fe composite layer under different yield strengths, and equivalent stress cloud, equivalent strain cloud, and load–displacement curves with yield strengths of 6, 6.5, 7, and 7.5 GPa were obtained. Nano-indentation experimental result was analyzed with the Π theorem in dimensional analysis, and the relationship between load–displacement curve function and mechanical parameters, such as yield strength and Poisson's ratio of micro-nano-structured TaC-Fe composite layer, was obtained. The correctness of the dimensional analysis model and the reliability of finite element simulation nano-indentation were validated using the combination of dimension-function relationship, simulation calculations, and load-displacement curve obtained through nano-indentation experimentation. Yield strength of micro-nanostructured TaC-Fe composite layer was determined as 7.05 GPa.","2020-02-15","2025-07-11 02:54:18","2025-07-11 08:35:39","","3479-3489","","3","46","","Ceramics International","","","","","","","","","","","","","","","","","","","Dimensional analysis; Finite element simulation; Nano-indentation; TaC; Yield strength","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MSCLS7UF","journalArticle","2016","Liu, Jun; Kong, Jianwei; Kong, Xianjing","Shaking table model tests of concrete containment vessel (CCV) for CPR1000 nuclear power plant","Progress in Nuclear Energy","","0149-1970","10.1016/j.pnucene.2016.08.016","https://www.sciencedirect.com/science/article/pii/S0149197016301950","Containment vessel of nuclear power plant is the last barrier to prevent the leakage of radioactive materials, so the seismic performance is of high importance. In order to investigate the seismic performance of the CPR1000 prestressed concrete containment vessel (PCCV) structure under design and beyond-design basis earthquake, a 1/20 scale concrete containment vessel (CCV) model was designed and constructed on the shaking table based on the similitude requirements from the Buckingham's π-Theorem. The horizontal and vertical earthquake waves generated from RG1.60 spectrum were selected as the input earthquake waves in the shaking table model test, and the earthquake waves with peak ground acceleration (PGA) 0.2g, 0.3g, 0.4g, 0.5g, 0.7g, 0.9g and 1.2g respectively were loaded step by step until the macroscopic failure occurred in the model containment vessel. The dynamic responses of the model CCV were obtained from the acceleration sensors and resistance strain gages. The model test results showed that the maximum acceleration magnification factor of the model CCV was 1.974 with PGA of 0.2g, which indicated that the CCV had a good seismic-resistant behavior under 0.2g earthquake. Until the second last test case with the horizontal peak earthquake motion of 0.9g (corresponding to 0.9g for the prototype structure), the fundamental frequency of the model CCV only decreased slightly and the maximum tensile strains at all monitoring points were much smaller than the ultimate tensile strain. It meant that the model CCV as a whole was within the elastic range. In the last case (1.2g), the model fundamental frequency decreased steeply. At the same time, the maximum tensile strains at the heel of the cylinder wall far exceeded the ultimate tensile strain and a circle of cracks occurred at the cylinder wall heel. It meant rupture failure had occurred and the cylinder wall heel of the CCV was the weak region. It agreed well with the numerical analysis results and the visual inspection and camera record at the test site. Although a circle of concrete cracks appeared around the cylinder wall foot, the model CCV still remained integral as a whole and neither cracking parts dislocation nor collapse occurred. Because the test model was a plain concrete structure and the model test results should be conservative estimation, it can be concluded that the prototype PCCV for CPR1000 nuclear power plant had sufficient seismic safety margin.","2016-11-01","2025-07-11 02:54:18","2025-07-11 08:30:13","","186-204","","","93","","Progress in Nuclear Energy","","","","","","","","","","","","","","","","","","","Containment vessel; Nuclear power plant; Seismic performance; Shaking table test; Similarity law","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"YZQVEDZ9","journalArticle","2020","Hanna, Steven","Britter and McQuaid (B&M) 1988 workbook nomograms for dense gas modeling applied to the Jack Rabbit II chlorine release trials","Atmospheric Environment","","1352-2310","10.1016/j.atmosenv.2020.117539","https://www.sciencedirect.com/science/article/pii/S1352231020302740","The Britter and McQuaid (B&M) 1988 Workbook for Dense Gas Modeling uses principles of basic physics and thermodynamics to develop simplified nomograms for calculating dense gas dispersion, involving dimensionless combinations of the fundamental variables and parameters. There is one nomogram for instantaneous releases, and another for continuous releases. The B&M nomograms were applied to the three Jack Rabbit II (JR II) chlorine release trials being used for the multi-model comparison described in other papers in this special issue. The intent was to use the B&M model as a baseline against which other, more sophisticated models, could be compared. In any model applied to the JR II trials, it is important to properly initialize the cloud characteristics (geometry, density, etc.). The B&M handbook has a simple basic thermodynamics method to calculate the initial size and density of a cloud released as a two-phase pure mixture. It is shown that the B&M nomograms’ predictions of arc maximum concentration (arc max C) for JR II trials 1, 6, and 7 have skill about in the middle of the group of 17 models that are being compared. The B&M predictions are relatively unbiased for Trials 6 and 7 (which has the largest arc max C), but overpredict by a factor of 2 or 3 for Trial 1. It is concluded that the B&M nomograms are conservative and are adequate for first-cut estimates of maximum concentrations following large scale dense gas releases.","2020-07-01","2025-07-11 02:54:18","2025-07-11 08:19:27","","117539","","","232","","Atmospheric Environment","","","","","","","","","","","","","","","","","","","Britter and McQuaid workbook; Chlorine field experiment; Dense gas dispersion; Jack Rabbit II; Model evaluation","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"YZTV99UH","journalArticle","2019","Song, Qinglin; Sun, Bowen; Gao, Xueping; Zhang, Chen","PIV experimental investigation of the outflow temperature from nonlinearly stratified reservoir regulated by floating intake","Experimental Thermal and Fluid Science","","0894-1777","10.1016/j.expthermflusci.2019.109893","https://www.sciencedirect.com/science/article/pii/S089417771930367X","Floating intake is an effective facility of selective withdrawal to regulate the outflow temperature from thermally stratified reservoirs. The outflow temperature was the result of the interaction among temperature field, flow field and artificial regulation. To characterize them, three influencing factors (i.e., temperature distribution, outflow rate and submerged depth) were chosen. Experiments were conducted to investigate the response of outflow temperature to influencing factors in a nonlinearly stratified fluid with the particle image velocimetry (PIV) technique. Results showed that the withdrawal layer was formed near the level of floating intake inhibited by the density gradient, and its thickness was proportional to stratification intensity. The withdrawal layer ascended with the decrease in submerged depth, and the thickness also changed due to the variation in density gradient. Although the outflow temperature increased, the variation amplitude depended on the temperature gradient between the two submerged depths. However, enlarging the outflow rate within a certain range had relatively small influence on the withdrawal layer thickness and the outflow temperature. Considering the experimental results, a formula was developed for predicting the outflow temperature based on dimensional analysis and energy conservation.","2019-12-01","2025-07-11 02:54:18","2025-07-11 08:31:23","","109893","","","109","","Experimental Thermal and Fluid Science","","","","","","","","","","","","","","","","","","","Floating intake; Nonlinearly stratified reservoir; Outflow temperature; PIV; Selective withdrawal","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9EEFT7I5","journalArticle","2017","Demirel, Gizem; Acar, Erdem; Celebioglu, Kutay; Aradag, Selin","CFD-driven surrogate-based multi-objective shape optimization of an elbow type draft tube","Special Issue on The 4th European Conference on Renewable Energy Systems (ECRES 2016), 28-31 August 2016, Istanbul, Turkey","","0360-3199","10.1016/j.ijhydene.2017.03.082","https://www.sciencedirect.com/science/article/pii/S0360319917310066","Draft tube is the part of Francis turbines which is used to both discharge water and recover kinetic energy at the exit of the runner. A design optimization study of an elbow type draft tube based on the combined use of Computational Fluid Dynamics (CFD), design of experiments, surrogate models and multi-objective optimization is presented in this study. The geometric variables that specify the shape of the draft tube are chosen as input variables for surrogate models and the pressure recovery factor and the head loss are selected as output responses. It is determined that, pressure recovery factor, which is the main performance parameter, can be increased by 4.3%, and head loss can be reduced by %20 compared to the initial CFD aided design. Pressure recovery factor, is represented with a second order polynomial regression model in terms of the geometrical parameters based on the optimization results. The verification of the model is also provided by comparison with CFD results for different draft tubes other than that are used in the development of the model. The model is verified using 30 different design points and it can predict the pressure recovery factor with an error of less than 8%. This model allows the fast and correct design and optimization of elbow type draft tubes, without the need for further CFD simulations.","2017-07-13","2025-07-11 02:54:18","2025-07-11 08:17:25","","17601-17610","","28","42","","International Journal of Hydrogen Energy","","","","","","","","","","","","","","","","","","","Draft tube; Francis turbine; Meta-model; Optimization; Pressure recovery factor","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VRHW25WI","journalArticle","2016","Nemati, Omid; Ibarra, Luis M. Candanedo; Fung, Alan S.","Review of computer models of air-based, curtainwall-integrated PV/T collectors","Renewable and Sustainable Energy Reviews","","1364-0321","10.1016/j.rser.2016.04.026","https://www.sciencedirect.com/science/article/pii/S1364032116300430","Photovoltaic–thermal (PV/T) collectors provide renewable energy, and they are instrumental to achieve grid independency. A subset of these collectors is collectors that are integrated into building envelope. The so-called “building-integrated” PV/T collectors have seen a dramatic rise in popularity recently. This recent popularity has necessitated systematic design optimization. To benefit design optimization, a review of computer models of these collectors was performed. This review was performed by objectively assessing international findings on roof-integrated and curtain-wall integrated PV/T collectors. The scope of this review was thermal collection efficiency. The significance of this review was to identify the weakest link in computer models that should one day lead to more accurate computer models. This weak link is the internal heat transfer rate. To overcome this weakness, a model calibration method was proposed that is based on case-by-case parameter identification. In addition, a detailed dimensional analysis was performed that allowed a new Π group to be introduced to Nusselt (Nu) number correlations of developing, turbulent parallel-plate flow. This Π group is the Stanton number as applied to the inter-channel radiative heat transfer coefficient (Str). Commonly implemented Nu number correlations do not account for this heat transfer rate. They only account for collector geometry, collector air flow inertia and collector air viscosity.","2016-09-01","2025-07-11 02:54:18","2025-07-11 08:28:29","","102-117","","","63","","Renewable and Sustainable Energy Reviews","","","","","","","","","","","","","","","","","","","Curtainwall; Daylighting; Dimensional analysis; Nusselt number correlations; Photovoltaic/thermal (PV/T) collector; Solar-optical properties; Thermal collection efficiency","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
