"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"ZZUL6R72","journalArticle","2014","Numrich, Robert W.","Computer performance analysis and the Pi Theorem","Computer Science - Research and Development","","1865-2034","10.1007/s00450-010-0147-8","https://doi.org/10.1007/s00450-010-0147-8","This paper applies the Pi Theorem of dimensional analysis to a representative set of examples from computer performance analysis. It is a survey paper that takes a different look at problems involving latency, bandwidth, cache-miss ratios, and the efficiency of parallel numerical algorithms. The Pi Theorem is the fundamental tool of dimensional analysis, and it applies to problems in computer performance analysis just as well as it does to problems in other sciences. Applying it requires the definition of a system of measurement appropriate for computer performance analysis with a consistent set of units and dimensions. Then a straightforward recipe for each specific problem reduces the number of independent variables to a smaller number of dimensionless parameters. Two machines with the same values of these parameters are self-similar and behave the same way. Self-similarity relationships emphasize how machines are the same rather than how they are different. The Pi Theorem is simple to state and simple to prove, using purely algebraic methods, but the results that follow from it are often surprising and not simple at all. The results are often unexpected but they almost always reveal something new about the problem at hand.","2014-02-01","2023-03-04 21:11:31","2025-07-09 03:54:25","2023-03-04 21:11:31","45–71","","1","29","","Comput. Sci.","","","","","","","","","","","","","February  2014","","","<p>Cited By :2</p>","C:\Users\Felipe\Zotero\storage\6ZF4MKZW\Numrich - 2014 - Computer performance analysis and the Pi Theorem.pdf; ; C:\Users\Felipe\Zotero\storage\EIH8XWAV\display.html","https://www.researchgate.net/publication/226177180_Computer_performance_analysis_and_the_Pi_Theorem","Dimensional analysis; Bandwidth; Cache behavior; Computational force; Computational intensity; Latency; Parallel algorithms; Performance analysis; Performance metrics; Pi Theorem; Scaling","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CG4TNYJV","journalArticle","2020","Saadon, Azlinda; Abdullah, Jazuri; Muhammad, Nur Shazwani; Ariffin, Junaidah","Development of riverbank erosion rate predictor for natural channels using NARX-QR Factorization model: a case study of Sg. Bernam, Selangor, Malaysia","Neural Computing and Applications","","1433-3058","10.1007/s00521-020-04835-5","https://doi.org/10.1007/s00521-020-04835-5","This study presents a novel and comprehensive model development technique to predict the riverbank erosion rate for a natural channel using a Nonlinear AutoRegressive model with eXogenous inputs and QR factorization parameter estimation, known as the NARX-QR Factorization model. The model was developed based on a 12-month extensive field measurement at Sg. Bernam. This study established the governing factors and derived dependent and independent variables for riverbank erosion using dimensional analysis, based on the Buckingham PI theorem. Two functional relationships were derived from dimensional analysis incorporating the factors governing riverbank erosion. The functional relationships include parameters of hydraulic characteristics of the channel, riverbank geometry and soil characteristics. Parameter estimation was conducted using a linear least squares technique to quantify riverbank erosion rates. The significant independent variables and fourteen models with several numbers of hidden layers were set as the input parameters to the NARX-QR Factorization model. The model performance analysis shows that Models 1 and 9, developed based on the proposed NARX-QR Factorization model, have the highest R2 at 75% and 91%, respectively. Model 1 performed the best with accuracies for training and testing datasets of 75% and 73%, respectively. Additionally, the scatter plot of Model 1 is uniformly distributed along the line of perfect agreement. Therefore, it is concluded that the NARX-QR Factorization model developed in this study performed well in estimating the riverbank erosion rate, particularly for a natural river similar to Sg. Bernam.","2020-09-01","2024-07-16 05:56:17","2025-07-09 03:53:49","2024-07-16 05:56:15","14839-14849","","18","32","","Neural Comput & Applic","Development of riverbank erosion rate predictor for natural channels using NARX-QR Factorization model","","","","","","","en","","","","","Springer Link","","","","C:\Users\Felipe\Zotero\storage\YTJT7RCZ\Saadon et al. - 2020 - Development of riverbank erosion rate predictor fo.pdf","","Dimensionless analysis; Sensitivity analysis; NARX; Natural river; QR factorization; Riverbank erosion","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RPNSM8A3","journalArticle","2016","Vogeltanz, Tomáš","A Survey of Free Software for the Design, Analysis, Modelling, and Simulation of an Unmanned Aerial Vehicle","Archives of Computational Methods in Engineering","","1886-1784","10.1007/s11831-015-9147-y","https://doi.org/10.1007/s11831-015-9147-y","The objective of this paper is to analyze free software for the design, analysis, modelling, and simulation of an unmanned aerial vehicle (UAV). Free software is the best choice when the reduction of production costs is necessary; nevertheless, the quality of free software may vary. This paper probably does not include all of the free software, but tries to describe or mention at least the most interesting programs. The first part of this paper summarizes the essential knowledge about UAVs, including the fundamentals of flight mechanics and aerodynamics, and the structure of a UAV system. The second section generally explains the modelling and simulation of a UAV. In the main section, more than 50 free programs for the design, analysis, modelling, and simulation of a UAV are described. Although the selection of the free software has been focused on small subsonic UAVs, the software can also be used for other categories of aircraft in some cases; e.g. for MAVs and large gliders. The applications with an historical importance are also included. Finally, the results of the analysis are evaluated and discussed—a block diagram of the free software is presented, possible connections between the programs are outlined, and future improvements of the free software are suggested.","2016-09-01","2024-07-16 05:56:17","2025-07-09 03:54:48","2024-07-16 05:56:17","449-514","","3","23","","Arch Computat Methods Eng","","","","","","","","en","","","","","Springer Link","","","","C:\Users\Felipe\Zotero\storage\29WMQWHX\Vogeltanz - 2016 - A Survey of Free Software for the Design, Analysis.pdf; C:\Users\Felipe\Zotero\storage\VQNT8QG8\Vogeltanz - 2016 - A Survey of Free Software for the Design, Analysis, Modelling, and Simulation of an Unmanned Aerial.pdf","","","Mach Number; Computational Fluid Dynamics; Configuration File; Global Position System; Unmanned Aerial Vehicle","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3XDX8USI","journalArticle","2011","Ding, Liang; Deng, Zongquan; Gao, Haibo; Nagatani, Keiji; Yoshida, Kazuya","Planetary rovers’ wheel–soil interaction mechanics: new challenges and applications for wheeled mobile robots","Intelligent Service Robotics","","1861-2784","10.1007/s11370-010-0080-5","https://doi.org/10.1007/s11370-010-0080-5","With the increasing challenges facing planetary exploration missions and the resultant increase in the performance requirements for planetary rovers, terramechanics (wheel–soil interaction mechanics) is playing an important role in the development of these rovers. As an extension of the conventional terramechanics theory for terrestrial vehicles, the terramechanics theory for planetary rovers, which is becoming a new research hotspot, is unique and puts forward many new challenging problems. This paper first discusses the significance of the study of wheel–soil interaction mechanics of planetary rovers and summarizes the differences between planetary rovers and terrestrial vehicles and the problems arising thereof. The application of terramechanics to the development of planetary rovers can be divided into two phases (the R&D phase and exploration phase for rovers) corresponding to the high-fidelity and simplified terramechanics models. This paper also describes the current research status by providing an introduction to classical terramechanics and the experimental, theoretical, and numerical researches on terramechanics for planetary rovers. The application status of the terramechanics for planetary rovers is analyzed from the aspects of rover design, performance evaluation, planetary soil parameter identification, dynamics simulation, mobility control, and path planning. Finally, the key issues for future research are discussed. The current planetary rovers are actually advanced wheeled mobile robots (WMRs), developed employing cutting-edge technologies from different fields. The terramechanics for planetary rovers is expected to present new challenges and applications for WMRs, making it possible to develop WMRs using the concepts of mechanics and dynamics.","2011-01-01","2024-07-16 05:57:45","2025-07-09 03:55:03","2024-07-16 05:57:43","17-38","","1","4","","Intel Serv Robotics","Planetary rovers’ wheel–soil interaction mechanics","","","","","","","en","","","","","Springer Link","","","","C:\Users\Felipe\Zotero\storage\C7NSK837\Ding et al. - 2011 - Planetary rovers’ wheel–soil interaction mechanics.pdf","","Control; Terramechanics; Planetary rover; Design and performance evaluation; Dynamics simulation; Soil parameter identification","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"E47I3LGW","journalArticle","2011","Le Sage, T.; Bindel, A.; Conway, P. P.; Justham, L. M.; Slawson, S. E.; West, A. A.","Embedded programming and real-time signal processing of swimming strokes","Sports Engineering","","1460-2687","10.1007/s12283-011-0070-7","https://doi.org/10.1007/s12283-011-0070-7","The research outlined in this paper was conducted to allow real-time processing, transmission and presentation of data to swimming coaches and subsequently their swimmers in a training environment, focused on providing information relevant to strokes in free swimming. This was achieved using a wearable wireless sensor and embedded programming techniques, using accelerations involved in the swimming stroke to provide relevant features for coaches. Current methods used do not offer real-time response to coaches, which results in the lack of real-time feedback and significantly increased post-session analysis time. Filtering and signal processing algorithms are described here, which allow real-time data analysis to be embedded within a wireless sensor node. The system significantly reduces the time for processing acquired data and has delivered a novel monitoring device suitable for operation within the harsh environment of the pool.","2011-08-13","2024-07-16 05:57:45","2025-07-09 03:55:02","2024-07-16 05:57:45","1","","1","14","","Sports Eng","","","","","","","","en","","","","","Springer Link","","","","C:\Users\Felipe\Zotero\storage\4LVG9EFP\Le Sage et al. - 2011 - Embedded programming and real-time signal processi.pdf","","","Embedded programming; Real time; Stroke recognition; Swimming","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DD49ITHZ","journalArticle","2014","Brace, William; Ekman, Kalevi","CORAMOD: a checklist-oriented model-based requirements analysis approach","Requirements Engineering","","1432-010X","10.1007/s00766-012-0154-3","https://doi.org/10.1007/s00766-012-0154-3","Requirement development activities such as requirements analysis and modelling are well defined in software engineering. A model-based requirement development may result in significant improvements in engineering design. In current product development activities in this domain, not all requirements are consciously identified and modelled. This paper presents the checklist-oriented requirements analysis modelling (CORAMOD) approach. CORAMOD is a methodology for the use of model-based systems engineering for requirements analysis of complex products utilizing checklists, the simplest kind of rational design method. The model-based focuses the requirements analysis process on requirement modelling, whereas the checklist encourages a conscious and systematic approach to identify requirements. We illustrate the utility of CORAMOD artefacts by a comprehensive case study example and modelling with system modelling language (SysML). We suggest that visual accessibility of the SysML views facilitates the full participation of all stakeholders and enables the necessary dialogue and negotiation. The approach promotes tracing derived requirements to the customer need statement and enhances validation by model execution and simulation.","2014-03-01","2024-07-16 05:57:45","2025-07-09 03:54:23","2024-07-16 05:57:45","1-26","","1","19","","Requirements Eng","CORAMOD","","","","","","","en","","","","","Springer Link","","","","C:\Users\Felipe\Zotero\storage\GXV9NKHF\Brace and Ekman - 2014 - CORAMOD a checklist-oriented model-based requirem.pdf","","CORAMOD; Formalize requirement; Model-based; Model-based requirements analysis; Requirement models; Requirements analysis","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9R378UJN","journalArticle","2019","Gong, Shengping; Macdonald, Malcolm","Review on solar sail technology","Astrodynamics","","2522-0098","10.1007/s42064-019-0038-x","https://doi.org/10.1007/s42064-019-0038-x","This paper reviews solar sail trajectory design and dynamics, attitude control, and structural dynamics. Within the area of orbital dynamics, methods relevant to transfer trajectory design and non-Keplerian orbit generation are discussed. Within the area of attitude control, different control strategies, including utilisation of solar radiation pressure and conventional actuators, are discussed. Finally, the methods of modelling structural dynamics during and after deployment are discussed, before considering possible future trends in developing of solar sailing missions.","2019-06-01","2024-07-16 05:58:49","2025-07-09 03:53:54","2024-07-16 05:58:43","93-125","","2","3","","Astrodyn","","","","","","","","en","","","","","Springer Link","","","","C:\Users\Felipe\Zotero\storage\D32YG5CC\Gong and Macdonald - 2019 - Review on solar sail technology.pdf","","","attitude; orbit; solar sail; structure","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MSR36CUF","journalArticle","2018","Lomotey, Richard K.; Deters, Ralph","Middleware for mobile medical data management with minimal latency","Information Systems Frontiers","","1572-9419","10.1007/s10796-016-9729-8","https://doi.org/10.1007/s10796-016-9729-8","A promise of mHealth is its capacity to facilitate the consumption of Electronic Health Record (EHR) data using mobile devices, which is central to promoting remote healthcare delivery. Our ongoing project, called SOPHRA, in collaboration with the City Hospital in Saskatoon, Canada, focuses on supporting care providers (e.g., physicians) in the collection/recording of medical data from patients remotely. A major challenge that needs to be addressed is the potential loss of communication between the mobile-clients and the health information system (HIS) during the transfer of the electronic health record (EHR). Overcoming this challenge will foster soft-real time medical data exchanges. However, the issue of communication loss can be as a result of the over-reliance on wireless networks such as Wi-Fi, which can sometimes be unstable. Thus, the goal of this work is to propose a mobile health (mHealth) architectural environment that can exploit the limited available bandwidth during the mobile medical data transfer. A middleware is proposed with the capability of managing different states of the medical data as the physicians updates the EHR. The work details the employment of the Bernoulli model as a means of determining and controlling different updates of the mHealth data for effective propagation.","2018-12-01","2024-07-16 05:58:49","2025-07-09 03:53:59","2024-07-16 05:58:49","1281-1296","","6","20","","Inf Syst Front","","","","","","","","en","","","","","Springer Link","","","","C:\Users\Felipe\Zotero\storage\W7K4PLIW\Lomotey and Deters - 2018 - Middleware for mobile medical data management with.pdf","","Middleware; Cloud computing; Synchronization; Electronic health record; Mobile computing; Mobile devices","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"YMJFN3EW","journalArticle","2013","Geiß, Christian; Taubenböck, Hannes","Remote sensing contributing to assess earthquake risk: from a literature review towards a roadmap","Natural Hazards","","1573-0840","10.1007/s11069-012-0322-2","https://doi.org/10.1007/s11069-012-0322-2","Remote sensing data and methods are widely deployed in order to contribute to the assessment of numerous components of earthquake risk. While for earthquake hazard-related investigations, the use of remotely sensed data is an established methodological element with a long research tradition, earthquake vulnerability–centred assessments incorporating remote sensing data are increasing primarily in recent years. This goes along with a changing perspective of the scientific community which considers the assessment of vulnerability and its constituent elements as a pivotal part of a comprehensive risk analysis. Thereby, the availability of new sensors systems enables an appreciable share of remote sensing first. In this manner, a survey of the interdisciplinary conceptual literature dealing with the scientific perception of risk, hazard and vulnerability reveals the demand for a comprehensive description of earthquake hazards as well as an assessment of the present and future conditions of the elements exposed. A review of earthquake-related remote sensing literature, realized both in a qualitative and quantitative manner, shows the already existing and published manifold capabilities of remote sensing contributing to assess earthquake risk. These include earthquake hazard-related analysis such as detection and measurement of lineaments and surface deformations in pre- and post-event applications. Furthermore, pre-event seismic vulnerability–centred assessment of the built and natural environment and damage assessments for post-event applications are presented. Based on the review and the discussion of scientific trends and current research projects, first steps towards a roadmap for remote sensing are drawn, explicitly taking scientific, technical, multi- and transdisciplinary as well as political perspectives into account, which is intended to open possible future research activities.","2013-08-01","2024-07-16 06:26:43","2025-07-11 02:40:01","2024-07-16 06:26:41","7-48","","1","68","","Nat Hazards","Remote sensing contributing to assess earthquake risk","","","","","","","en","","","","","Springer Link","","","","C:\Users\Felipe\Zotero\storage\63N2D7DM\Geiß and Taubenböck - 2013 - Remote sensing contributing to assess earthquake risk from a literature review towards a roadmap.pdf; C:\Users\Felipe\Zotero\storage\RG88DLAV\Geiß and Taubenböck - 2013 - Remote sensing contributing to assess earthquake r.pdf","","","Earthquake; Hazard; Literature review; Remote sensing; Risk; Roadmap; Vulnerability","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"W76FG3EN","journalArticle","2016","Choi, Sung-Oong; Lee, Seung-Joong","Numerical study to estimate the cutting power on a disc cutter in jointed rock mass","KSCE Journal of Civil Engineering","","1226-7988","10.1007/s12205-015-2265-0","https://www.sciencedirect.com/science/article/pii/S1226798824000928","The Linear Cutting Machine (LCM) test is known to be a reliable method for designing disc cutters by estimating the penetration performance of a Tunnel Boring Machine (TBM). The LCM test is a laboratory test that uses large-scale rock blocks to estimate the real-scale load on disc cutter; the LCM test offers many advantages, but the costs of preparing the rock samples and performing the laboratory test are too high. In addition, the test results from jointed rock blocks are rarely trustworthy because of the difficulty of performing the LCM test with this type of rock sample. To compensate for the failings of the laboratory test, many studies have been conducted to develop a suitable numerical model. However, few studies have investigated the mechanism of rock fragmentation as a function of the joint spacing and the joint direction. This paper presents the results of a Discrete Element Analysis (DEA) of the cutting power exerted on a TBM disc cutter at various joint dip angles, dip directions and spacings. The results show that the cutting power must be increased when the disc cutter advances in a direction opposite to the joint dip. The numerical analysis also shows that the cutting power of a disc cutter increases as the joint dip angle decreases and the joint spacing decreases. Comparing the relationship between the cutting power of the disc cutter and the distribution pattern of the rock joints with the LCM test results can be used to increase the reliability of TBM performance predictions.","2016-01-01","2025-07-09 00:09:35","2025-07-09 03:54:13","","440-451","","1","20","","KSCE Journal of Civil Engineering","","","","","","","","","","","","","","","","","","","cutting power; disc cutter; Discrete Element Analysis (DEA); jointed rock mass; Linear Cutting Machine (LCM); Tunnel Boring Machine (TBM)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
