Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"Development of riverbank erosion rate predictor for natural channels using NARX-QR Factorization model: a case study of Sg. Bernam, Selangor, Malaysia",Neural Computing and Applications,,,,10.1007/s00521-020-04835-5,Azlinda SaadonJazuri AbdullahNur Shazwani MuhammadJunaidah Ariffin,2020,https://link.springer.com/article/10.1007/s00521-020-04835-5,Article
Dynamic Access Control to Semantics-Aware Streamed Process Logs,Journal on Data Semantics,,,,10.1007/s13740-019-00106-2,Marcello LeidaPaolo CeravoloErnesto DamianiRasool AsalMaurizio Colombo,2019,https://link.springer.com/article/10.1007/s13740-019-00106-2,Article
Overview of Heat Transfer Augmentation Techniques for Parabolic Solar Concentrator Receiver,Advances in Solar Power Generation and Energy Harvesting,,,,10.1007/978-981-15-3635-9_18,Milind S. PatilSanjay Pratapsingh Shekhawat,2020,https://link.springer.com/chapter/10.1007/978-981-15-3635-9_18,Conference paper
Analysing the Trade-Off Between Computational Performance and Representation Richness in Ontology-Based Systems,Computational Science – ICCS 2019,,,,10.1007/978-3-030-22750-0_18,Salvatore F. PileggiFabian C. PeñaMaria Del Pilar VillamilGhassan Beydoun,2019,https://link.springer.com/chapter/10.1007/978-3-030-22750-0_18,Conference paper
Evaluation of Hydrodynamic Performance of Quarter Circular Breakwater Using Soft Computing Techniques,Proceedings of the Fourth International Conference in Ocean Engineering (ICOE2018),,,,10.1007/978-981-13-3134-3_7,N. RameshA. V. HegdeSubba Rao,2019,https://link.springer.com/chapter/10.1007/978-981-13-3134-3_7,Conference paper
RETRACTED ARTICLE: Tuberculosis (TB) detection system using deep neural networks,Neural Computing and Applications,,,,10.1007/s00521-018-3564-4,R. Dinesh Jackson SamuelB. Rajesh Kanna,2018,https://link.springer.com/article/10.1007/s00521-018-3564-4,Article
Design and Analysis of a Single-Stage Transonic Centrifugal Turbine for organic Rankine cycle (ORC),Journal of Thermal Science,,,,10.1007/s11630-019-1079-7,Naian WangXiaojin SunDiangui Huang,2019,https://link.springer.com/article/10.1007/s11630-019-1079-7,Article
A novel fall detection algorithm for elderly using SHIMMER wearable sensors,Health and Technology,,,,10.1007/s12553-019-00298-4,Amir MehmoodAdnan NadeemMuhammad AshrafTurki AlghamdiMuhammad Shoaib Siddiqui,2019,https://link.springer.com/article/10.1007/s12553-019-00298-4,Article
Program development for performance analysis of a steam turbine system with the use of overload valve,Journal of Mechanical Science and Technology,,,,10.1007/s12206-016-1146-x,Soo Young KangJeong Jin LeeTong Seop KimSeong Jin ParkGi Won HongJun Ho Ahn,2016,https://link.springer.com/article/10.1007/s12206-016-1146-x,Article
Review on solar sail technology,Astrodynamics,,,,10.1007/s42064-019-0038-x,Shengping GongMalcolm Macdonald,2019,https://link.springer.com/article/10.1007/s42064-019-0038-x,Article
SISMES XI NATIONAL CONGRESS,Sport Sciences for Health,,,,10.1007/s11332-019-00578-6,,2019,https://link.springer.com/article/10.1007/s11332-019-00578-6,Article
