FROM: http://127.0.0.1:8888/?corpus=762da13ca8334f4c7365a770c7768967&panels=collocatesgraph,reader,trends,summary,bubblelines&lang=en

Term	inDocumentsCount	RawFrequency	RelativeFrequency	RelativePeakedness	RelativeSkewness	Distributions
α	4	291	0.005169106	-0.93764013	-0.12903251	0.0,0.006934746,0.006846384,0.0,0.011706716,0.0066283694
analysis	6	221	0.003925679	2.3781097	1.4717805	0.0032883352,0.00447869,0.0037441163,0.0033751205,0.0064695007,0.0026513478
time	6	218	0.0038723887	-0.05795819	0.30640635	0.0013845621,0.0028894774,0.0040650405,0.006557377,0.0030807147,0.0050081015
size	5	201	0.0035704134	-1.7035623	-0.51106554	0.0,0.0036118468,8.55798E-4,0.005593057,0.0049291435,0.0064810724
problem	6	197	0.0034993605	-0.45126992	-0.90924436	0.0043267566,0.0026968457,0.0016046213,0.004725169,0.004621072,0.0054499926
β	4	160	0.0028421201	-2.0007505	-0.6615012	0.0,0.0039489525,0.0045999144,0.0,0.004621072,0.0029459419
dimensional	6	159	0.002824357	1.9806591	1.5882293	0.006922811,0.002263424,0.0024604194,0.0022179363,0.0043130005,0.0017675651
parallel	6	157	0.0027888305	-0.76389205	-0.51567584	5.192108E-4,0.0017818444,0.0033162173,0.004821601,0.004621072,0.0030932392
number	6	157	0.0027888305	-1.7161821	0.8696717	0.0020768433,0.002407898,0.005348738,0.0014464803,0.005853358,0.0016202681
machines	6	152	0.0027000143	1.033777	-0.78759307	1.7307026E-4,0.0019263183,0.0035301668,0.0046287365,0.0030807147,0.0029459419
φ	4	151	0.002682251	-0.29386288	0.7717977	0.0,0.002263424,0.0029952931,0.0,0.0055452865,0.0085432315
machine	6	147	0.002611198	-1.8793968	-0.56470156	8.6535135E-4,9.150012E-4,0.003958066,0.004725169,0.0030807147,0.0039770217
efficiency	5	145	0.0025756715	-2.0160055	0.13381469	0.0,0.0016855286,0.0050278134,8.6788816E-4,0.0067775724,0.0047135074
parameters	6	142	0.0025223817	1.3139427	-0.7729541	5.192108E-4,0.002263424,0.0025673942,0.0039537125,0.0033887862,0.0023567537
function	6	142	0.0025223817	-0.072217464	1.1418715	0.005192108,0.0019263183,0.0038510913,0.0021215044,0.0015403574,0.0013256739
r0	3	135	0.002398039	1.1635528	1.3171932	0.0,0.0029857934,0.0059905862,0.0016393443,0.0,0.0
processor	5	134	0.0023802756	-0.49925885	0.9855659	0.0,0.0013965808,0.003958066,0.0056894887,3.0807147E-4,0.0011783768
cache	3	133	0.0023625125	-1.5788637	1.0159367	0.0,0.00447869,1.0697475E-4,0.0037608487,0.0,0.0
performance	6	132	0.0023447492	1.6961408	-0.888588	8.6535135E-4,0.0025523717,0.0019255456,0.0031822566,0.0024645717,0.0022094564
self	5	131	0.0023269858	-1.989205	0.18501759	0.0,0.0032747411,0.0019255456,0.0034715526,3.0807147E-4,0.0011783768
length	6	131	0.0023269858	1.9148035	1.5090904	0.0015576323,0.0026968457,0.0019255456,0.0014464803,0.0018484289,0.0039770217
force	6	131	0.0023269858	-0.19130641	-0.35531452	6.9228106E-4,0.0019744763,0.0036371415,0.0024108004,0.0036968577,0.0022094564
fig	6	124	0.002202643	2.367538	-1.4960153	0.0017307027,0.002263424,0.002139495,0.0027000965,6.1614293E-4,0.0025040507
http	6	122	0.0021671166	5.8701677	2.4154296	0.015057113,4.3342164E-4,3.2092427E-4,9.6432015E-4,0.0015403574,0.0011783768
formula	5	122	0.0021671166	0.6392915	-0.492972	0.0,0.0018300024,0.0020325202,0.0027000965,0.0043130005,0.0033878332
computational	6	121	0.0021493535	-1.3542972	-0.50862974	3.4614053E-4,0.001203949,0.0033162173,0.0033751205,0.004004929,0.0022094564
bandwidth	5	120	0.0021315902	-0.30394176	-0.10553393	0.0,0.0027450037,0.0033162173,0.0018322082,0.0012322859,0.0013256739
